DATA;Brasil
1-jan-00;172.411.827
1-fev-00;172.619.684
1-mar-00;172.827.170
1-abr-00;173.034.285
1-mai-00;173.241.022
1-jun-00;173.447.387
1-jul-00;173.653.378
1-ago-00;173.858.999
1-set-00;174.064.243
1-out-00;174.269.111
1-nov-00;174.473.609
1-dez-00;174.677.733
1-jan-01;174.881.480
1-fev-01;175.084.860
1-mar-01;175.287.860
1-abr-01;175.490.490
1-mai-01;175.692.745
1-jun-01;175.894.625
1-jul-01;176.096.134
1-ago-01;176.297.266
1-set-01;176.498.025
1-out-01;176.698.411
1-nov-01;176.898.423
1-dez-01;177.098.057
1-jan-02;177.297.319
1-fev-02;177.496.208
1-mar-02;177.694.719
1-abr-02;177.892.863
1-mai-02;178.090.626
1-jun-02;178.288.012
1-jul-02;178.485.036
1-ago-02;178.681.675
1-set-02;178.877.943
1-out-02;179.073.834
1-nov-02;179.269.355
1-dez-02;179.464.497
1-jan-03;179.659.266
1-fev-03;179.853.661
1-mar-03;180.047.681
1-abr-03;180.241.323
1-mai-03;180.434.595
1-jun-03;180.627.489
1-jul-03;180.820.008
1-ago-03;181.012.154
1-set-03;181.203.921
1-out-03;181.395.317
1-nov-03;181.586.339
1-dez-03;181.776.982
1-jan-04;181.967.253
1-fev-04;182.157.148
1-mar-04;182.346.667
1-abr-04;182.535.812
1-mai-04;182.724.578
1-jun-04;182.912.972
1-jul-04;183.100.988
1-ago-04;183.288.631
1-set-04;183.475.896
1-out-04;183.662.791
1-nov-04;183.849.303
1-dez-04;184.035.445
1-jan-05;184.221.208
1-fev-05;184.406.597
1-mar-05;184.591.613
1-abr-05;184.776.247
1-mai-05;184.960.508
1-jun-05;185.144.393
1-jul-05;185.327.905
1-ago-05;185.511.035
1-set-05;185.693.795
1-out-05;185.876.175
1-nov-05;186.058.179
1-dez-05;186.239.811
1-jan-06;186.421.065
1-fev-06;186.601.940
1-mar-06;186.782.440
1-abr-06;186.962.565
1-mai-06;187.142.314
1-jun-06;187.321.684
1-jul-06;187.500.678
1-ago-06;187.679.300
1-set-06;187.857.542
1-out-06;188.035.407
1-nov-06;188.212.898
1-dez-06;188.390.010
1-jan-07;188.566.744
1-fev-07;188.743.105
1-mar-07;188.919.085
1-abr-07;189.094.694
1-mai-07;189.269.923
1-jun-07;189.444.772
1-jul-07;189.619.251
1-ago-07;189.793.348
1-set-07;189.967.069
1-out-07;190.140.416
